City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
288,ancud,92,CL,1525322793,86,-41.87,-73.83,49.35,4.61
289,omachi,12,JP,1525323209,61,36.5,137.85,60.33,3.53
290,baruun-urt,0,MN,1525323209,24,46.68,113.28,68.61,16.06
291,rocha,92,UY,1525323209,98,-34.48,-54.34,63.39,8.08
292,jaguarari,56,BR,1525323210,92,-10.26,-40.2,66.9,8.52
293,san isidro,24,PH,1525323211,53,16.74,121.63,93.9,5.06
294,dicabisagan,8,PH,1525322781,87,17.08,122.42,85.26,6.85
295,san ignacio,92,CL,1525323212,89,-36.8,-72.03,47.28,3.83
296,fortuna,48,ES,1525322754,57,38.18,-1.13,52.68,10.65
297,caravelas,0,BR,1525322815,100,-17.73,-39.27,78.06,12.33
298,batemans bay,0,AU,1525323213,74,-35.71,150.18,69.69,6.62
299,lavrentiya,48,RU,1525322893,100,65.58,-170.99,24.15,0.81
300,opuwo,0,NA,1525323213,59,-18.06,13.84,52.23,5.32
301,suntar,88,RU,1525323213,51,62.16,117.65,54.21,9.86
302,pyay,12,MM,1525323214,70,18.82,95.22,87.96,4.32
303,severo-kurilsk,36,RU,1525322799,97,50.68,156.12,33.78,7.56
304,ushtobe,0,KZ,1525323214,47,45.25,77.98,61.41,7.63
305,belyy yar,92,RU,1525323215,100,53.6,91.39,40.53,13.38
306,husavik,0,CA,1525322763,90,50.56,-96.99,44.13,7.07
307,port lincoln,88,AU,1525322839,100,-34.72,135.86,58.62,23.22
308,barra patuca,100,HN,1525323215,89,15.8,-84.28,82.29,10.09
309,vorobyevka,0,RU,1525323216,42,50.65,40.92,70.41,6.62
310,noumea,68,NC,1525323216,87,-22.28,166.46,72.48,10.54
311,taoudenni,8,ML,1525322822,32,22.68,-3.98,59.61,9.53
312,berlevag,0,NO,1525322808,97,70.86,29.09,35.49,8.3
313,karratha,0,AU,1525322795,22,-20.74,116.85,87.78,6.89
314,vallenar,0,CL,1525323217,68,-28.58,-70.76,46.74,2.3
315,ulety,36,RU,1525323218,54,51.36,112.48,63.57,5.1
316,jacareacanga,80,BR,1525323218,97,-6.22,-57.76,74.28,1.81
